8;arms_factory;2898.00;10.95;1510.00;1.47;0
8;arms_factory;2897.00;11.38;1512.00;4.13;0
8;arms_factory;2897.00;11.50;1513.00;5.69;0
8;arms_factory;2903.00;10.85;1511.00;2.07;0
8;arms_factory;2905.00;10.82;1512.00;6.20;0
8;arms_factory;2899.00;11.40;1514.00;1.48;0
8;industrial_complex;2903.00;10.88;1512.00;4.14;0
8;industrial_complex;2897.00;11.60;1514.00;1.98;0
8;industrial_complex;2898.00;11.80;1517.00;3.19;0
8;industrial_complex;2902.00;10.98;1513.00;6.20;0
8;industrial_complex;2899.00;11.53;1516.00;2.59;0
8;industrial_complex;2900.00;10.80;1507.00;0.43;0
8;air_base;2898.00;11.63;1515.00;1.63;0
8;bunker;2899.00;11.80;1519.00;4.65;0
8;anti_air_building;2904.00;10.73;1508.00;1.03;0
8;anti_air_building;2900.00;11.48;1518.00;3.69;0
8;anti_air_building;2903.00;10.75;1508.00;1.54;0
8;synthetic_refinery;2898.00;10.95;1510.00;3.10;0
8;nuclear_reactor;2904.00;10.78;1509.00;2.14;0
8;rocket_site;2903.00;10.75;1508.00;2.43;0
8;radar_station;2901.00;11.07;1514.00;5.05;0
762;arms_factory;5478.00;10.00;184.00;6.14;0
762;arms_factory;5471.00;10.00;204.00;2.53;0
762;arms_factory;5464.00;10.00;192.00;5.54;0
762;arms_factory;5431.00;10.00;181.00;1.92;0
762;arms_factory;5479.00;10.00;177.00;4.59;0
762;arms_factory;5451.00;10.00;208.00;2.43;0
762;industrial_complex;5482.00;10.00;203.00;2.53;0
762;industrial_complex;5441.00;10.00;186.00;0.37;0
762;industrial_complex;5455.00;10.00;214.00;3.03;0
762;industrial_complex;5454.00;10.00;187.00;4.59;0
762;industrial_complex;5427.00;10.00;183.00;0.98;0
762;industrial_complex;5474.00;10.00;186.00;5.10;0
762;air_base;5486.85;10.00;200.18;0.03;0
762;bunker;5477.00;10.00;179.00;5.61;0
762;bunker;5480.00;10.00;196.00;0.53;0
762;bunker;5443.00;10.00;209.00;4.66;0
762;bunker;5459.00;10.00;200.00;6.22;0
762;bunker;5406.00;10.00;189.00;2.60;0
762;bunker;5437.00;10.00;187.00;5.27;0
762;anti_air_building;5441.00;10.00;197.00;5.77;0
762;anti_air_building;5451.00;10.00;183.00;3.61;0
762;anti_air_building;5485.00;10.00;206.00;3.71;0
762;synthetic_refinery;5457.00;10.00;213.00;1.56;0
762;radar_station;5490.06;10.00;203.38;1.90;0
762;rocket_site;5480.55;10.00;205.56;0.60;0
762;nuclear_reactor;5478.74;10.00;199.63;3.62;0
765;arms_factory;5516.00;10.00;304.00;0.37;0
765;arms_factory;5505.00;10.00;234.00;3.03;0
765;arms_factory;5407.00;10.00;221.00;4.59;0
765;arms_factory;5488.00;10.00;237.00;0.98;0
765;arms_factory;5474.00;10.00;275.00;5.10;0
765;arms_factory;5502.00;10.00;244.00;0.03;0
765;industrial_complex;5474.00;10.00;285.00;3.04;0
765;industrial_complex;5408.00;10.00;256.00;0.88;0
765;industrial_complex;5470.00;10.00;287.00;3.54;0
765;industrial_complex;5435.00;10.00;243.00;6.21;0
765;industrial_complex;5516.00;10.00;288.00;1.49;0
